job_title,company,location,extra,salary
  IT Data Engineer - Logistiksysteme (w/m/d)  , Österreichische Post AG , Österreich ,No Homeoffice, ab 55.000 € jährlich 
  Data Scientist:in für Abfallwirtschaftsdaten (d/m/w)  , Umweltbundesamt , Wien , Homeoffice , ab 3.345 € monatlich 
  Expert Data Scientist (all genders)  , tipp3 - Österreichische Sportwetten G.m.b.H , Wien , Homeoffice , ab 65.000 € jährlich 
  Data Scientist (w/m/*)  , CANCOM Austria AG , Wien , Homeoffice , ab 65.000 € jährlich 
  Meteorological Data Scientist (m/w/d) mit Schwerpunkt Machine Learning  , UBIMET GmbH , Wien , Homeoffice , ab 3.571 € monatlich 
  Data Scientist (w/m/d)  , Raiffeisen Landesbank Niederösterreich Wien , Wien , Homeoffice , ab 45.000 € jährlich 
  Senior Data Scientist (m/w/d)  , voestalpine AG ," Graz, Wien ",No Homeoffice, ab 5.132 € monatlich 
  Data Scientist (w/m/d)  , Foodora Austria GmbH , Wien , Homeoffice , ab 50.000 € jährlich 
  Data Scientist:in mit LLM und MLOps Schwerpunkt  , EY Österreich , Wien , Homeoffice ," ab 3.163,08 € monatlich "
  Data Scientist Finance & Commercial (m/w/d)  , voestalpine AG ," Linz, Böhlerwerk, Bruck an der Mur, Leoben, Kapfenberg, Krems an der Donau, Mürzzuschlag, Wien, Zeltweg ", Homeoffice , ab 4.346 € monatlich 
  Data-Engineer (w/m/x) - Vollzeit/Teilzeit (ab 30h/Woche)  , Stadt Wien – Wiener Wohnen Kundenservice GmbH , Wien , Homeoffice , ab 50.000 € jährlich 
  Praktikum im Bereich Data Science und Informationssysteme  , Oesterreichische Nationalbank , Wien , Homeoffice , ab 1.940 € monatlich 
  (Senior) Software / Data Engineer  , KPMG Österreich ," Linz, Wien ", Homeoffice , ab 52.136 € jährlich 
  Data Engineer (w/m/d)  , ITSV GmbH , Wien , Homeoffice , ab 3.077 € monatlich 
  Data Engineer  , APG - Austrian Power Grid AG , Wien , Homeoffice ," ab 4.050,37 € monatlich "
  Spatial Data Engineer (m/w/x)  , ÖBB-Konzern , Wien 2. Bezirk (Leopoldstadt) ,No Homeoffice," ab 51.581,28 € jährlich "
